LOTE;VALOR;PESO;DESCRICAO
03153-4; 527,00 ;3,38;" UM COLAR, UM PENDENTE, DE: OURO, PESO LOTE: 3,38G (TRES GRAMAS E TRINTA E OITO CENTIGRAMAS) R$ 527,00 
"
03154-2; 343,00 ;2,31;" UMA PULSEIRA, DE: OURO; CONSTAM: amassada(s), PESO LOTE: 2,31G (DOIS GRAMAS E TRINTA E UM CENTIGRAMAS) R$ 343,00 
"
03156-9;4.398,00 ;30,23;" UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), amassada(s), PESO LOTE: 30,23G (TRINTA GRAMAS E VINTE E TRES CENTIGRAMAS) R$ 4.398,00 
"
03163-1; 463,00 ;3,43;" UM COLARTIPO ESCAPULARIO, DE: OURO, PESO LOTE: 3,43G (TRES GRAMAS E QUARENTA E TRES CENTIGRAMAS) R$ 463,00 
"
03167-4; 340,00 ;2,55;" UM COLAR, UM PENDENTE, DE: OURO, PESO LOTE: 2,55G (DOIS GRAMAS E CINQUENTA E CINCO CENTIGRAMAS) R$ 340,00 
"
03189-5;3.916,00 ;25,89;" TRES ANÉIS, TRES PULSEIRAS, DE: OURO, OURO BRANCO; CONSTAM: amolgada(s), PESO LOTE: 25,89G (VINTE E CINCO GRAMAS E OITENTA E NOVE CENTIGRAMAS) R$ 3.916,00 
"
03208-5;1.490,00 ;10,56;" UMA PULSEIRA, UM ANEL, DE: OURO, OURO BRANCO, PESO LOTE: 10,56G (DEZ GRAMAS E CINQUENTA E SEIS CENTIGRAMAS) R$ 1.490,00 
"
03211-5;1.600,00 ;11,40;" QUATRO BRINCOS, UMA PULSEIRA, UM PENDENTE, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 11,40G (ONZE GRAMAS E QUARENTA CENTIGRAMAS) R$ 1.600,00 
"
03224-7;1.400,00 ;10,27;" UM ANEL, DE: OURO, PESO LOTE: 10,27G (DEZ GRAMAS E VINTE E SETE CENTIGRAMAS) R$ 1.400,00 
"
03225-5;7.576,00 ;49,43;" UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 49,43G (QUARENTA E NOVE GRAMAS E QUARENTA E TRES CENTIGRAMAS) R$ 7.576,00 
"
03226-3;12.407,00 ;79,80;" UM COLAR, DE: OURO, PESO LOTE: 79,80G (SETENTA E NOVE GRAMAS E OITENTA CENTIGRAMAS) R$ 12.407,00 
"
03227-1;4.998,00 ;31,91;" UM PENDENTE, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 31,91G (TRINTA E UM GRAMAS E NOVENTA E UM CENTIGRAMAS) R$ 4.998,00 
"
03228-0; 944,00 ;5,97;" UM COLAR, UM PENDENTE, DE: OURO, PESO LOTE: 5,97G (CINCO GRAMAS E NOVENTA E SETE CENTIGRAMAS) R$ 944,00 
"
03246-8; 649,00 ;4,55;" DOIS COLARES, UM PENDENTE, DE: OURO BRANCO, OURO; CONSTAM: iniciais, partida(s), (FECHO), amassada(s), PESO LOTE: 4,55G (QUATRO GRAMAS E CINQUENTA E CINCO CENTIGRAMAS) R$ 649,00 
"
03247-6; 184,00 ;1,41;" UM ANEL, DE: OURO; CONSTAM: falta, amolgada(s), PESO LOTE: 1,41G (UM GRAMAS E QUARENTA E UM CENTIGRAMA) R$ 184,00 
"
03251-4;2.828,00 ;18,82;" DOIS COLARES, UM PENDENTE, DE: OURO, PESO LOTE: 18,82G (DEZOITO GRAMAS E OITENTA E DOIS CENTIGRAMAS) R$ 2.828,00 
"
03255-7;;3,38;" DUAS ALIANÇAS, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 3,38G (TRES GRAMAS E TRINTA E OITO CENTIGRAMAS) R$ 474,00 Centralizadora: AG. PRACA RUI BARBOSA, RS 0453 Licitação de Jóias Data da Licitação: 27/02/2023 LOTE/CONTRATO DESCRIÇÃO VALOR ANOTAÇÕES Página 52 de 73 
"
03262-0;2.086,00 ;13,46;" DOIS COLARES, QUATRO PENDENTES, DE: OURO, OURO BRANCO; CONSTAM: iniciais, PESO LOTE: 13,46G (TREZE GRAMAS E QUARENTA E SEIS CENTIGRAMAS) R$ 2.086,00 
"
03264-6;1.402,00 ;44,50;" UM RELÓGIOMARCA DELBANA CHONOGRAPHE SEM VIDRO NÃO FUNCIONA MOSTRADOR MANCHADO PILSEIRA COURO, DE: METAL NÃO NOBRE, (TAMPA INTERNA), OURO; CONSTAM: amassada(s), defeito(s), partida(s), solta(s), faltas, PESO LOTE: 44,50G (QUARENTA E QUATRO GRAMAS E CINQUENTA CENTIGRAMAS) R$ 1.402,00 
"
03265-4; 748,00 ;5,57;" DUAS ALIANÇAS, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 5,57G (CINCO GRAMAS E CINQUENTA E SETE CENTIGRAMAS) R$ 748,00 
"
03267-0; 640,00 ;4,80;" UMA ALIANÇA, DE: OURO, PESO LOTE: 4,80G (QUATRO GRAMAS E OITENTA CENTIGRAMAS) R$ 640,00 
"
03275-1; 610,00 ;4,33;" DOIS BRINCOS, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 4,33G (QUATRO GRAMAS E TRINTA E TRES CENTIGRAMAS) R$ 610,00 
"
03282-4;1.222,00 ;8,19;" UM COLAR, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 8,19G (OITO GRAMAS E DEZENOVE CENTIGRAMAS) R$ 1.222,00 
"
03285-9;1.330,00 ;10,30;" UMA PULSEIRA, DE: OURO; CONSTAM: amassada(s), PESO LOTE: 10,30G (DEZ GRAMAS E TRINTA CENTIGRAMAS) R$ 1.330,00 
"
03290-5;5.817,00 ;40,09;" UM COLAR, UM PENDENTE, DE: OURO, PESO LOTE: 40,09G (QUARENTA GRAMAS E NOVE CENTIGRAMAS) R$ 5.817,00 
"
03291-3; 220,00 ;1,67;" UM COLAR, DE: OURO; CONSTAM: partida(s), PESO LOTE: 1,67G (UM GRAMAS E SESSENTA E SETE CENTIGRAMA) R$ 220,00 
"
03293-0;1.350,00 ;10,00;" UMA ALIANÇA, UMA PULSEIRA, DE: OURO, PESO LOTE: 10,00G (DEZ GRAMAS) R$ 1.350,00 
"
03299-9; 648,00 ;4,70;" UM COLAR, UM PENDENTE, DE: OURO, PESO LOTE: 4,70G (QUATRO GRAMAS E SETENTA CENTIGRAMAS) R$ 648,00 
"
03307-3;5.639,00 ;35,95;" DUAS PULSEIRAS, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 35,95G (TRINTA E CINCO GRAMAS E NOVENTA E CINCO CENTIGRAMAS) R$ 5.639,00 
"
03314-6; 104,00 ;0,74;" UM PENDENTE, DE: OURO, PESO LOTE: 0,74G (SETENTA E QUATRO CENTIGRAMAS) R$ 104,00 
"
03317-0; 108,00 ;0,80;" DOIS BRINCOS, DE: OURO, PESO LOTE: 0,80G (OITENTA CENTIGRAMAS) R$ 108,00 
"
03321-9; 115,00 ;0,85;" UMA ALIANÇA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 0,85G (OITENTA E CINCO CENTIGRAMAS) R$ 115,00 
"
03323-5; 576,00 ;4,12;" UMA PULSEIRA, DE: OURO, PESO LOTE: 4,12G (QUATRO GRAMAS E DOZE CENTIGRAMAS) R$ 576,00 
"
03430-4; 303,00 ;2,11;" UMA ALIANÇA, DE: OURO; CONSTAM: inscrições, PESO LOTE: 2,11G (DOIS GRAMAS E ONZE CENTIGRAMAS) R$ 303,00 
"
03497-5; 560,00 ;4,24;" UM ANEL, UM COLAR, UM PENDENTE, DE: OURO, OURO BRANCO; CONSTAM: partida(s), PESO LOTE: 4,24G (QUATRO GRAMAS E VINTE E QUATRO CENTIGRAMAS) R$ 560,00 
"
03508-4; 680,00 ;5,19;" DUAS ALIANÇAS, DE: OURO; CONSTAM: inscrições, PESO LOTE: 5,19G (CINCO GRAMAS E DEZENOVE CENTIGRAMAS) R$ 680,00 
"
03534-3; 768,00 ;4,86;" UM PENDENTE, DE: OURO, PESO LOTE: 4,86G (QUATRO GRAMAS E OITENTA E SEIS CENTIGRAMAS) R$ 768,00 
"
03535-1;;7,13;" UMA PULSEIRA(COM UM PENDENTE FIXO), DE: OURO; CONSTAM: amassada(s), amolgada(s), PESO LOTE: 7,13G (SETE GRAMAS E TREZE CENTIGRAMAS) R$ 935,00 Centralizadora: AG. PRACA RUI BARBOSA, RS 0453 Licitação de Jóias Data da Licitação: 27/02/2023 LOTE/CONTRATO DESCRIÇÃO VALOR ANOTAÇÕES Página 55 de 73 
"
03537-8; 863,00 ;5,86;" UM COLAR, UM PENDENTE, DE: OURO; CONSTAM: amassada(s), PESO LOTE: 5,86G (CINCO GRAMAS E OITENTA E SEIS CENTIGRAMAS) R$ 863,00 
"
03538-6; 583,00 ;11,94;" UM RELÓGIO(FIDELI, OURO, PARADO , DEFEITOS , MOSTR. MANCHADO , AMASSADO), DE: OURO; CONSTAM: defeito(s), amassada(s), incompleta(s), (SEM PULSEIRA), PESO LOTE: 11,94G (ONZE GRAMAS E NOVENTA E QUATRO CENTIGRAMAS) R$ 583,00 
"
03560-2;1.339,00 ;9,58;" UM COLAR, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 9,58G (NOVE GRAMAS E CINQUENTA E OITO CENTIGRAMAS) R$ 1.339,00 
"
03575-0; 500,00 ;3,43;" DUAS ALIANÇAS, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 3,43G (TRES GRAMAS E QUARENTA E TRES CENTIGRAMAS) R$ 500,00 
"
03576-9; 452,00 ;3,11;" UMA ALIANÇA, DE: OURO; CONSTAM: amassada(s), inscrições, PESO LOTE: 3,11G (TRES GRAMAS E ONZE CENTIGRAMAS) R$ 452,00 
"
03593-9;2.768,00 ;18,97;" DOIS COLARES, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 18,97G (DEZOITO GRAMAS E NOVENTA E SETE CENTIGRAMAS) R$ 2.768,00 
"
03636-6;5.640,00 ;43,04;" UMA PULSEIRA, DE: OURO; CONSTAM: amassada(s), PESO LOTE: 43,04G (QUARENTA E TRES GRAMAS E QUATRO CENTIGRAMAS) R$ 5.640,00 
"
03641-2; 675,00 ;4,63;" DUAS ALIANÇAS, DE: OURO, PESO LOTE: 4,63G (QUATRO GRAMAS E SESSENTA E TRES CENTIGRAMAS) R$ 675,00 
"
03648-0; 540,00 ;4,11;" UM COLAR, DOIS FRAGMENTOS, UM PENDENTE, DE: OURO, OURO RODINADO, (DETALHE); CONSTAM: amassada(s), partida(s), incompleta(s), PESO LOTE: 4,11G (QUATRO GRAMAS E ONZE CENTIGRAMAS) R$ 540,00 
"
03672-2;3.800,00 ;29,28;" UMA ALIANÇA, UMA PULSEIRA, DE: OURO; CONSTAM: amassada(s), PESO LOTE: 29,28G (VINTE E NOVE GRAMAS E VINTE E OITO CENTIGRAMAS) R$ 3.800,00 
"
03707-9;4.104,00 ;27,57;" UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 27,57G (VINTE E SETE GRAMAS E CINQUENTA E SETE CENTIGRAMAS) R$ 4.104,00 
"
03708-7;4.419,00 ;29,67;" UMA PULSEIRA, UMA PULSEIRA, COM PENDENTE, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 29,67G (VINTE E NOVE GRAMAS E SESSENTA E SETE CENTIGRAMAS) R$ 4.419,00 
"
03724-9;3.761,00 ;23,87;" UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 23,87G (VINTE E TRES GRAMAS E OITENTA E SETE CENTIGRAMAS) R$ 3.761,00 
"
03725-7;2.031,00 ;13,64;" DUAS ALIANÇAS, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 13,64G (TREZE GRAMAS E SESSENTA E QUATRO CENTIGRAMAS) R$ 2.031,00 
"
03741-9; 427,00 ;3,09;" DOIS BRINCOS, DOIS PENDENTES, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 3,09G (TRES GRAMAS E NOVE CENTIGRAMAS) R$ 427,00 
"
03743-5; 373,00 ;2,85;" DUAS ALIANÇAS, DE: OURO, OURO BRANCO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 2,85G (DOIS GRAMAS E OITENTA E CINCO CENTIGRAMAS) R$ 373,00 
"
03761-3; 216,00 ;2,00;" DUAS ALIANÇAS, DE: OURO, 14K; CONSTAM: amolgada(s), inscrições, PESO LOTE: 2,00G (DOIS GRAMAS) R$ 216,00 
"
03769-9;2.287,00 ;14,67;" UM COLAR, DOIS PENDENTES, UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 14,67G (QUATORZE GRAMAS E SESSENTA E SETE CENTIGRAMAS) R$ 2.287,00 
"
03773-7; 617,00 ;4,22;" UM COLAR, UM PENDENTE, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 4,22G (QUATRO GRAMAS E VINTE E DOIS CENTIGRAMAS) R$ 617,00 
"
03800-8;;12,75;" UM PENDENTE, DUAS PULSEIRAS, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 12,75G (DOZE GRAMAS E SETENTA E CINCO CENTIGRAMAS) R$ 1.955,00 Centralizadora: AG. PRACA RUI BARBOSA, RS 0453 Licitação de Jóias Data da Licitação: 27/02/2023 LOTE/CONTRATO DESCRIÇÃO VALOR ANOTAÇÕES Página 59 de 73 
"
03801-6;3.462,00 ;25,70;" UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 25,70G (VINTE E CINCO GRAMAS E SETENTA CENTIGRAMAS) R$ 3.462,00 
"
03810-5;2.130,00 ;14,26;" DOIS BRINCOSTARRAXA DE METAL NAO NOBRE, UM COLAR, UM PENDENTE, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 14,26G (QUATORZE GRAMAS E VINTE E SEIS CENTIGRAMAS) R$ 2.130,00 
"
03819-9; 537,00 ;4,09;" UMA ALIANÇA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 4,09G (QUATRO GRAMAS E NOVE CENTIGRAMAS) R$ 537,00 
"
03829-6; 912,00 ;5,67;" UM ANEL, DOIS BRINCOS, UM PENDENTE, DE: OURO, OURO BRANCO; CONSTAM: amolgada(s), PESO LOTE: 5,67G (CINCO GRAMAS E SESSENTA E SETE CENTIGRAMAS) R$ 912,00 
"
03830-0; 672,00 ;5,13;" UM COLAR, UM PENDENTE, DE: OURO; CONSTAM: amassada(s), PESO LOTE: 5,13G (CINCO GRAMAS E TREZE CENTIGRAMAS) R$ 672,00 
"
03849-0; 440,00 ;3,36;" UM COLAR, DE: OURO; CONSTAM: amolgada(s), monograma, PESO LOTE: 3,36G (TRES GRAMAS E TRINTA E SEIS CENTIGRAMAS) R$ 440,00 
"
03855-5; 725,00 ;5,10;" DOIS ANÉIS, UMA PULSEIRA, DE: OURO, OURO BRANCO; CONSTAM: amolgada(s), PESO LOTE: 5,10G (CINCO GRAMAS E DEZ CENTIGRAMAS) R$ 725,00 
"
03856-3;7.907,00 ;54,64;" UM COLAR, UMA PULSEIRA, DE: OURO; CONSTAM: amassada(s), PESO LOTE: 54,64G (CINQUENTA E QUATRO GRAMAS E SESSENTA E QUATRO CENTIGRAMAS) R$ 7.907,00 
"
03857-1;9.089,00 ;67,80;" UM COLAR, TRES PENDENTES, UMA PULSEIRA, DE: OURO, OURO BRANCO; CONSTAM: amassada(s), inscrições, PESO LOTE: 67,80G (SESSENTA E SETE GRAMAS E OITENTA CENTIGRAMAS) R$ 9.089,00 
"
03863-6; 907,00 ;6,00;" DOIS BRINCOS, UM COLAR, UM PENDENTE, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 6,00G (SEIS GRAMAS) R$ 907,00 
"
03897-0;1.003,00 ;6,85;" DUAS ALIANÇAS, DE: OURO, OURO BRANCO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 6,85G (SEIS GRAMAS E OITENTA E CINCO CENTIGRAMAS) R$ 1.003,00 
"
03902-0;1.400,00 ;9,88;" DOIS BRINCOS, UM PENDENTE, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 9,88G (NOVE GRAMAS E OITENTA E OITO CENTIGRAMAS) R$ 1.400,00 
"
03903-9;1.700,00 ;12,85;" DUAS ALIANÇAS, DE: OURO, OURO BRANCO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 12,85G (DOZE GRAMAS E OITENTA E CINCO CENTIGRAMAS) R$ 1.700,00 
"
03905-5;1.210,00 ;8,35;" UM PENDENTE, UMA PULSEIRA, DE: OURO, OURO BRANCO; CONSTAM: amolgada(s), PESO LOTE: 8,35G (OITO GRAMAS E TRINTA E CINCO CENTIGRAMAS) R$ 1.210,00 
"
03908-0; 355,00 ;2,44;" UM COLAR, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 2,44G (DOIS GRAMAS E QUARENTA E QUATRO CENTIGRAMAS) R$ 355,00 
"
03915-2;1.780,00 ;12,34;" UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 12,34G (DOZE GRAMAS E TRINTA E QUATRO CENTIGRAMAS) R$ 1.780,00 
"
03916-0; 480,00 ;3,35;" UM COLAR, UM PENDENTE, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 3,35G (TRES GRAMAS E TRINTA E CINCO CENTIGRAMAS) R$ 480,00 
"
03917-9; 340,00 ;2,60;" UMA ALIANÇA, DOIS COLARES, DE: OURO; CONSTAM: amolgada(s), defeito(s), incompleta(s), partida(s), PESO LOTE: 2,60G (DOIS GRAMAS E SESSENTA CENTIGRAMAS) R$ 340,00 
"
03920-9; 620,00 ;4,33;" UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 4,33G (QUATRO GRAMAS E TRINTA E TRES CENTIGRAMAS) R$ 620,00 
"
03924-1;1.197,00 ;8,50;" UMA ALIANÇA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 8,50G (OITO GRAMAS E CINQUENTA CENTIGRAMAS) R$ 1.197,00 
"
03927-6;2.434,00 ;16,97;" DUAS ALIANÇAS, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 16,97G (DEZESSEIS GRAMAS E NOVENTA E SETE CENTIGRAMAS) R$ 2.434,00 
"
03930-6; 880,00 ;5,91;" UM COLAR, UM PENDENTE, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 5,91G (CINCO GRAMAS E NOVENTA E UM CENTIGRAMAS) R$ 880,00 
"
03932-2; 781,00 ;5,48;" DUAS ALIANÇAS, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 5,48G (CINCO GRAMAS E QUARENTA E OITO CENTIGRAMAS) R$ 781,00 
"
03933-0; 295,00 ;2,25;" UMA ALIANÇA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 2,25G (DOIS GRAMAS E VINTE E CINCO CENTIGRAMAS) R$ 295,00 
"
03934-9; 730,00 ;5,57;" UM BRINCO, TRES FRAGMENTOS, DOIS PENDENTES, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 5,57G (CINCO GRAMAS E CINQUENTA E SETE CENTIGRAMAS) R$ 730,00 
"
03949-7; 616,00 ;4,27;" UM ANEL, DE: OURO; CONSTAM: amolgada(s), falta, PESO LOTE: 4,27G (QUATRO GRAMAS E VINTE E SETE CENTIGRAMAS) R$ 616,00 
"
03950-0; 492,00 ;3,51;" UMA ALIANÇA, DE: OURO; CONSTAM: amolgada(s), incompleta(s), PESO LOTE: 3,51G (TRES GRAMAS E CINQUENTA E UM CENTIGRAMAS) R$ 492,00 
"
03954-3; 620,00 ;4,76;" DUAS ALIANÇAS, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 4,76G (QUATRO GRAMAS E SETENTA E SEIS CENTIGRAMAS) R$ 620,00 
"
03956-0; 364,00 ;2,49;" UMA PULSEIRA, DE: OURO, OURO BRANCO; CONSTAM: amolgada(s), PESO LOTE: 2,49G (DOIS GRAMAS E QUARENTA E NOVE CENTIGRAMAS) R$ 364,00 
"
03959-4; 296,00 ;2,14;" UMA ALIANÇA, UM ANEL, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 2,14G (DOIS GRAMAS E QUATORZE CENTIGRAMAS) R$ 296,00 
"
03971-3; 400,00 ;2,93;" UM ANEL, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 2,93G (DOIS GRAMAS E NOVENTA E TRES CENTIGRAMAS) R$ 400,00 
"
03984-5;5.875,00 ;40,22;" UM COLAR, UM PENDENTE, DE: OURO; CONSTAM: amassada(s), PESO LOTE: 40,22G (QUARENTA GRAMAS E VINTE E DOIS CENTIGRAMAS) R$ 5.875,00 
"
03985-3;3.702,00 ;23,35;" UMA PULSEIRA, DE: OURO; CONSTAM: amassada(s), PESO LOTE: 23,35G (VINTE E TRES GRAMAS E TRINTA E CINCO CENTIGRAMAS) R$ 3.702,00 
"
03990-0;1.681,00 ;11,51;" UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 11,51G (ONZE GRAMAS E CINQUENTA E UM CENTIGRAMAS) R$ 1.681,00 
"
03994-2;2.137,00 ;15,02;" UM COLAR, DOIS PENDENTES, DE: OURO; CONSTAM: inscrições, monograma, PESO LOTE: 15,02G (QUINZE GRAMAS E DOIS CENTIGRAMAS) R$ 2.137,00 
"
04018-5; 810,00 ;5,61;" UM COLAR, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 5,61G (CINCO GRAMAS E SESSENTA E UM CENTIGRAMAS) R$ 810,00 
"
04025-8;2.916,00 ;20,11;" DUAS PULSEIRAS, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 20,11G (VINTE GRAMAS E ONZE CENTIGRAMAS) R$ 2.916,00 
"
04053-3;5.169,00 ;31,66;" TRES PULSEIRAS, DE: OURO, OURO RODINADO; CONSTAM: amolgada(s), PESO LOTE: 31,66G (TRINTA E UM GRAMAS E SESSENTA E SEIS CENTIGRAMAS) R$ 5.169,00 
"
04074-6;5.182,00 ;31,86;" QUATRO PULSEIRAS, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 31,86G (TRINTA E UM GRAMAS E OITENTA E SEIS CENTIGRAMAS) R$ 5.182,00 
"
04087-8;6.483,00 ;39,85;" UM COLAR, UM PENDENTE, UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 39,85G (TRINTA E NOVE GRAMAS E OITENTA E CINCO CENTIGRAMAS) R$ 6.483,00 
"
04111-4; 978,00 ;5,94;" UM PENDENTE, UMA PULSEIRA, DE: OURO, PESO LOTE: 5,94G (CINCO GRAMAS E NOVENTA E QUATRO CENTIGRAMAS) R$ 978,00 
"
04116-5;1.748,00 ;10,77;" UM ANEL, DOIS COLARES, TRES PENDENTES, DUAS PULSEIRAS, DE: OURO; CONSTAM: inscrições, PESO LOTE: 10,77G (DEZ GRAMAS E SETENTA E SETE CENTIGRAMAS) R$ 1.748,00 
"
04119-0; 523,00 ;3,46;" UM COLAR, DE: OURO; CONSTAM: inscrições, PESO LOTE: 3,46G (TRES GRAMAS E QUARENTA E SEIS CENTIGRAMAS) R$ 523,00 
"
04144-0;5.132,00 ;31,65;" UMA PULSEIRA, DE: OURO, PESO LOTE: 31,65G (TRINTA E UM GRAMAS E SESSENTA E CINCO CENTIGRAMAS) R$ 5.132,00 
"
04247-1;1.479,00 ;9,11;" DUAS ALIANÇAS, UM ANEL, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 9,11G (NOVE GRAMAS E ONZE CENTIGRAMAS) R$ 1.479,00 
"
04250-1; 695,00 ;4,97;" DUAS ALIANÇAS, DE: OURO; CONSTAM: inscrições, PESO LOTE: 4,97G (QUATRO GRAMAS E NOVENTA E SETE CENTIGRAMAS) R$ 695,00 
"
04267-6; 856,00 ;5,28;" UM ANEL, DE: OURO, PESO LOTE: 5,28G (CINCO GRAMAS E VINTE E OITO CENTIGRAMAS) R$ 856,00 
"
04274-9; 676,00 ;4,40;" UMA ALIANÇA, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 4,40G (QUATRO GRAMAS E QUARENTA CENTIGRAMAS) R$ 676,00 
"
04278-1;1.577,00 ;7,98;" UMA MOEDA(1 SOBERANO, REINO UNIDO, 1903), DE: OURO, 917, PESO LOTE: 7,98G (SETE GRAMAS E NOVENTA E OITO CENTIGRAMAS) R$ 1.577,00 
"
04279-0;9.016,00 ;46,74;" UMA MOEDA(100 SOIS, PERU, 1962), DE: OURO, 900, PESO LOTE: 46,74G (QUARENTA E SEIS GRAMAS E SETENTA E QUATRO CENTIGRAMAS) R$ 9.016,00 
"
04280-3;3.023,00 ;13,96;" UMA MOEDA(4 DUCADOS, IMPERIO AUSTRO-HUNGARO, 1915), DE: OURO, 986, PESO LOTE: 13,96G (TREZE GRAMAS E NOVENTA E SEIS CENTIGRAMAS) R$ 3.023,00 
"
04297-8;;6,54;" UMA ALIANÇA, DE: OURO; CONSTAM: inscrições, PESO LOTE: 6,54G (SEIS GRAMAS E CINQUENTA E QUATRO CENTIGRAMAS) R$ 957,00 Centralizadora: AG. PRACA RUI BARBOSA, RS 0453 Licitação de Jóias Data da Licitação: 27/02/2023 LOTE/CONTRATO DESCRIÇÃO VALOR ANOTAÇÕES Página 65 de 73 
"
04301-0; 586,00 ;3,79;" UMA ALIANÇA, UM COLAR, COM PENDENTE FIXO, DE: OURO; CONSTAM: amassada(s), PESO LOTE: 3,79G (TRES GRAMAS E SETENTA E NOVE CENTIGRAMAS) R$ 586,00 
"
04305-2; 620,00 ;4,28;" UMA ALIANÇA, DE: OURO; CONSTAM: inscrições, PESO LOTE: 4,28G (QUATRO GRAMAS E VINTE E OITO CENTIGRAMAS) R$ 620,00 
"
04335-4;2.120,00 ;13,36;" UMA PULSEIRA, DE: OURO, PESO LOTE: 13,36G (TREZE GRAMAS E TRINTA E SEIS CENTIGRAMAS) R$ 2.120,00 
"
04336-2;4.158,00 ;26,20;" UMA PULSEIRA, DE: OURO, PESO LOTE: 26,20G (VINTE E SEIS GRAMAS E VINTE CENTIGRAMAS) R$ 4.158,00 
"
04337-0;2.917,00 ;18,39;" UMA PULSEIRA, DE: OURO, PESO LOTE: 18,39G (DEZOITO GRAMAS E TRINTA E NOVE CENTIGRAMAS) R$ 2.917,00 
"
04338-9;2.436,00 ;15,35;" DOIS BRINCOS, UM COLAR, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 15,35G (QUINZE GRAMAS E TRINTA E CINCO CENTIGRAMAS) R$ 2.436,00 
"
04344-3;1.378,00 ;9,44;" UM ANEL, UM COLAR, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 9,44G (NOVE GRAMAS E QUARENTA E QUATRO CENTIGRAMAS) R$ 1.378,00 
"
04346-0;;6,76;" UM COLAR, UMA PULSEIRA, DE: OURO, PESO LOTE: 6,76G (SEIS GRAMAS E SETENTA E SEIS CENTIGRAMAS) R$ 986,00 Centralizadora: AG. PRACA RUI BARBOSA, RS 0453 Licitação de Jóias Data da Licitação: 27/02/2023 LOTE/CONTRATO DESCRIÇÃO VALOR ANOTAÇÕES Página 66 de 73 
"
04347-8;2.020,00 ;13,84;" UMA PULSEIRA(COM 4 PENDENTES FIXOS), DE: OURO, PESO LOTE: 13,84G (TREZE GRAMAS E OITENTA E QUATRO CENTIGRAMAS) R$ 2.020,00 
"
04348-6;1.194,00 ;8,18;" UM COLAR, UM PENDENTE, DE: OURO, PESO LOTE: 8,18G (OITO GRAMAS E DEZOITO CENTIGRAMAS) R$ 1.194,00 
"
04356-7;1.818,00 ;11,95;" UMA PULSEIRACOM UM PENDENTE FIXO, DE: OURO; CONSTAM: amassada(s), PESO LOTE: 11,95G (ONZE GRAMAS E NOVENTA E CINCO CENTIGRAMAS) R$ 1.818,00 
"
