LOTE;VALOR;PESO;DESCRICAO
00461-8;1.941,00 ;14,88;" UM COLAR, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 14,88G (QUATORZE GRAMAS E OITENTA E OITO CENTIGRAMAS) R$ 1.941,00 
"
00468-5;1.847,00 ;12,52;" QUATRO COLARES, DE: OURO; CONSTAM: amassada(s), defeito(s), PESO LOTE: 12,52G (DOZE GRAMAS E CINQUENTA E DOIS CENTIGRAMAS) R$ 1.847,00 
"
00473-1;2.805,00 ;21,48;" UMA PULSEIRA, DE: OURO; CONSTAM: inscrições, amassada(s), PESO LOTE: 21,48G (VINTE E UM GRAMAS E QUARENTA E OITO CENTIGRAMAS) R$ 2.805,00 
"
00490-1;2.184,00 ;15,61;" OITO BRINCOS, DE: OURO, OURO BRANCO, PESO LOTE: 15,61G (QUINZE GRAMAS E SESSENTA E UM CENTIGRAMAS) R$ 2.184,00 
"
00491-0;1.649,00 ;11,75;" OITO BRINCOS, DE: OURO, PESO LOTE: 11,75G (ONZE GRAMAS E SETENTA E CINCO CENTIGRAMAS) R$ 1.649,00 
"
00513-4; 294,00 ;2,25;" UM ANEL, DE: OURO; CONSTAM: amassada(s), PESO LOTE: 2,25G (DOIS GRAMAS E VINTE E CINCO CENTIGRAMAS) R$ 294,00 
"
00529-0;1.588,00 ;8,00;" UMA MOEDAINGLATERRA 1900, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 8,00G (OITO GRAMAS) R$ 1.588,00 
"
00530-4;1.581,00 ;7,97;" UMA MOEDAINGLATERRA 1876, DE: OURO; CONSTAM: amolgada(s), defeito(s), PESO LOTE: 7,97G (SETE GRAMAS E NOVENTA E SETE CENTIGRAMAS) R$ 1.581,00 
"
00531-2;1.577,00 ;7,95;" UMA MOEDAINGLATERRA 1884, DE: OURO; CONSTAM: amolgada(s), defeito(s), PESO LOTE: 7,95G (SETE GRAMAS E NOVENTA E CINCO CENTIGRAMAS) R$ 1.577,00 
"
00532-0;1.577,00 ;7,95;" UMA MOEDAALEMANHA 1898, DE: OURO; CONSTAM: amassada(s), PESO LOTE: 7,95G (SETE GRAMAS E NOVENTA E CINCO CENTIGRAMAS) R$ 1.577,00 
"
00533-9;1.583,00 ;7,98;" UMA MOEDAINGLATERRA 1912, DE: OURO; CONSTAM: amolgada(s), defeito(s), PESO LOTE: 7,98G (SETE GRAMAS E NOVENTA E OITO CENTIGRAMAS) R$ 1.583,00 
"
00555-0;9.045,00 ;64,08;" UM COLAR, DE: OURO, PESO LOTE: 64,08G (SESSENTA E QUATRO GRAMAS E OITO CENTIGRAMAS) R$ 9.045,00 
"
00556-8;8.657,00 ;60,92;" UMA PULSEIRA, UM PENDENTE, DE: OURO, PESO LOTE: 60,92G (SESSENTA GRAMAS E NOVENTA E DOIS CENTIGRAMAS) R$ 8.657,00 
"
00557-6; 928,00 ;5,55;" UMA ALIANÇA, UM ANEL, DOIS BRINCOS, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 5,55G (CINCO GRAMAS E CINQUENTA E CINCO CENTIGRAMAS) R$ 928,00 
"
00586-0; 278,00 ;1,85;" UM ESCAPULARIO, DE: OURO, PESO LOTE: 1,85G (UM GRAMAS E OITENTA E CINCO CENTIGRAMA) R$ 278,00 
"
00600-9;1.267,00 ;9,67;" TRES ALIANÇAS, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 9,67G (NOVE GRAMAS E SESSENTA E SETE CENTIGRAMAS) R$ 1.267,00 
"
00601-7; 740,00 ;5,16;" DUAS PULSEIRAS, DE: OURO, PESO LOTE: 5,16G (CINCO GRAMAS E DEZESSEIS CENTIGRAMAS) R$ 740,00 
"
00605-0;6.765,00 ;41,63;" QUATRO BRINCOS, CINCO PENDENTES, DE: OURO; CONTÉM: esmalte; CONSTAM: amolgada(s), PESO LOTE: 41,63G (QUARENTA E UM GRAMAS E SESSENTA E TRES CENTIGRAMAS) R$ 6.765,00 
"
00610-6;3.194,00 ;21,95;" DUAS ALIANÇAS, DE: OURO, OURO BRANCO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 21,95G (VINTE E UM GRAMAS E NOVENTA E CINCO CENTIGRAMAS) R$ 3.194,00 
"
00623-8; 873,00 ;6,09;" UMA PULSEIRACOM 25 ARGOLAS, DE: OURO; CONSTAM: amassada(s), PESO LOTE: 6,09G (SEIS GRAMAS E NOVE CENTIGRAMAS) R$ 873,00 
"
00654-8;2.744,00 ;19,34;" UMA PULSEIRA, DE: OURO; CONSTAM: amolgada(s), incompleta(s), , SEM CORRENTE DE SEGURAÇA, PESO LOTE: 19,34G (DEZENOVE GRAMAS E TRINTA E QUATRO CENTIGRAMAS) R$ 2.744,00 
"
00684-0;;2,23;" DUAS ALIANÇAS, UM PENDENTE, DE: OURO; CONSTAM: amassada(s), partida(s), incompleta(s), inscrições, PESO LOTE: 2,23G (DOIS GRAMAS E VINTE E TRES CENTIGRAMAS) R$ 311,00 Centralizadora: AG. PRACA RUI BARBOSA, RS 0453 Licitação de Jóias Data da Licitação: 27/02/2023 LOTE/CONTRATO DESCRIÇÃO VALOR ANOTAÇÕES Página 12 de 73 
"
00685-8; 194,00 ;1,48;" UMA ALIANÇA, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 1,48G (UM GRAMAS E QUARENTA E OITO CENTIGRAMA) R$ 194,00 
"
00698-0; 340,00 ;2,41;" UMA ALIANÇA, DE: OURO; CONSTAM: amassada(s), PESO LOTE: 2,41G (DOIS GRAMAS E QUARENTA E UM CENTIGRAMAS) R$ 340,00 
"
00704-8;1.328,00 ;8,56;" DUAS PULSEIRAS, DUAS TORNOZELEIRAS, DE: OURO; CONSTAM: amassada(s), partida(s), incompleta(s), PESO LOTE: 8,56G (OITO GRAMAS E CINQUENTA E SEIS CENTIGRAMAS) R$ 1.328,00 
"
00712-9; 328,00 ;2,49;" UMA ALIANÇA, DE: OURO; CONSTAM: amassada(s), inscrições, PESO LOTE: 2,49G (DOIS GRAMAS E QUARENTA E NOVE CENTIGRAMAS) R$ 328,00 
"
00726-9;3.756,00 ;26,68;" UMA PULSEIRACOM UM PENDENTE, DE: OURO; CONTÉM: coral; CONSTAM: amassada(s), defeito(s), PESO LOTE: 26,68G (VINTE E SEIS GRAMAS E SESSENTA E OITO CENTIGRAMAS) R$ 3.756,00 
"
00741-2;2.452,00 ;18,72;" DUAS ALIANÇAS, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 18,72G (DEZOITO GRAMAS E SETENTA E DOIS CENTIGRAMAS) R$ 2.452,00 
"
00743-9;1.401,00 ;10,69;" DOIS ANÉIS, DE: OURO, OURO RODINADO; CONSTAM: amassada(s), PESO LOTE: 10,69G (DEZ GRAMAS E SESSENTA E NOVE CENTIGRAMAS) R$ 1.401,00 
"
00744-7;1.230,00 ;9,37;" UM ANEL, DE: OURO; CONSTAM: amolgada(s), PESO LOTE: 9,37G (NOVE GRAMAS E TRINTA E SETE CENTIGRAMAS) R$ 1.230,00 
"
00747-1;4.599,00 ;35,10;" UM COLAR, UM PENDENTE, UMA PULSEIRA, DE: OURO; CONSTAM: amassada(s), partida(s), incompleta(s), PESO LOTE: 35,10G (TRINTA E CINCO GRAMAS E DEZ CENTIGRAMAS) R$ 4.599,00 
"
00757-9;1.785,00 ;11,20;" UM ANEL, DOIS BRINCOS, UMA PULSEIRA, DE: OURO, OURO BRANCO; CONSTAM: amassada(s), PESO LOTE: 11,20G (ONZE GRAMAS E VINTE CENTIGRAMAS) R$ 1.785,00 
"
00765-0;;17,40;" UM COLAR, QUATRO BRINCOS, DE: OURO, OURO BRANCO; CONSTAM: amolgada(s), PESO LOTE: 17,40G (DEZESSETE GRAMAS E QUARENTA CENTIGRAMAS) R$ 2.285,00 Centralizadora: AG. PRACA RUI BARBOSA, RS 0453 Licitação de Jóias Data da Licitação: 27/02/2023 LOTE/CONTRATO DESCRIÇÃO VALOR ANOTAÇÕES Página 13 de 73 
"
00768-4; 417,00 ;2,86;" TRES COLARES, UM PENDENTE, DE: OURO; CONSTAM: amassada(s), incompleta(s), partida(s), PESO LOTE: 2,86G (DOIS GRAMAS E OITENTA E SEIS CENTIGRAMAS) R$ 417,00 
"
00770-6;1.251,00 ;9,55;" UMA ALIANÇA, UM COLAR, UM PENDENTE, DE: OURO; CONSTAM: amolgada(s), inscrições, PESO LOTE: 9,55G (NOVE GRAMAS E CINQUENTA E CINCO CENTIGRAMAS) R$ 1.251,00 
"
